               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085447,            0.020949,            0.045084,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00326,             0.00326,             0.07066
                   1,            0.065105,            0.015868,            0.024818,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065286,           0.0065286,            0.041229
                   2,            0.061136,            0.014937,            0.017956,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097913,           0.0097913,            0.011791
                   3,            0.057621,            0.014733,            0.016062,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00998,             0.00998,             0.00998
                   4,            0.053617,            0.014453,            0.014593,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00998,             0.00998,             0.00998
                   5,            0.050721,            0.013795,            0.012133,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099645,           0.0099645,           0.0099645
                   6,            0.048119,            0.013498,            0.010196,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099446,           0.0099446,           0.0099446
                   7,            0.046891,            0.012913,           0.0092101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099203,           0.0099203,           0.0099203
                   8,            0.045891,            0.013032,           0.0085719,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098916,           0.0098916,           0.0098916
                   9,            0.044627,            0.012462,           0.0081535,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098586,           0.0098586,           0.0098586
                  10,            0.043549,            0.012425,           0.0073289,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098213,           0.0098213,           0.0098213
                  11,            0.042619,            0.012167,           0.0069735,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097798,           0.0097798,           0.0097798
                  12,            0.042117,            0.012422,           0.0066785,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009734,            0.009734,            0.009734
                  13,            0.041967,            0.012023,           0.0067186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009684,            0.009684,            0.009684
                  14,            0.040751,            0.011753,           0.0061539,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096299,           0.0096299,           0.0096299
                  15,            0.040704,             0.01164,           0.0058231,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095717,           0.0095717,           0.0095717
                  16,            0.040165,            0.011574,           0.0057924,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095095,           0.0095095,           0.0095095
                  17,            0.039123,            0.011591,           0.0051811,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094434,           0.0094434,           0.0094434
                  18,            0.038885,            0.011392,            0.005228,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093733,           0.0093733,           0.0093733
                  19,            0.038526,            0.011242,           0.0048358,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092995,           0.0092995,           0.0092995
                  20,             0.03789,            0.011247,           0.0049907,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092219,           0.0092219,           0.0092219
                  21,            0.037936,            0.011031,            0.004983,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091406,           0.0091406,           0.0091406
                  22,            0.037277,            0.010953,           0.0045383,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090557,           0.0090557,           0.0090557
                  23,            0.036759,            0.010866,           0.0045621,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089673,           0.0089673,           0.0089673
                  24,            0.036483,            0.010902,           0.0043597,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088755,           0.0088755,           0.0088755
                  25,            0.036363,            0.010699,           0.0041878,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087804,           0.0087804,           0.0087804
                  26,            0.036365,            0.010991,           0.0045191,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008682,            0.008682,            0.008682
                  27,            0.036472,            0.010748,           0.0045046,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085805,           0.0085805,           0.0085805
                  28,             0.03601,            0.010558,           0.0041064,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084759,           0.0084759,           0.0084759
                  29,            0.035755,            0.010546,           0.0041508,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083684,           0.0083684,           0.0083684
                  30,            0.035466,             0.01052,           0.0040569,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082581,           0.0082581,           0.0082581
                  31,            0.034812,            0.010224,           0.0037145,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008145,            0.008145,            0.008145
                  32,            0.034977,            0.010139,           0.0037347,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080294,           0.0080294,           0.0080294
                  33,            0.034715,            0.010454,           0.0038502,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079112,           0.0079112,           0.0079112
